order_id,customer_id,sku,order_date,channel,qty,order_value_inr,lot_code
VR910177,C109159,VA-AC-CBL,2024-06-21,vireo.in,1,399,CBL-2404-3
VR882300,C106194,VA-EB-PL1,2024-06-22,vireo.in,1,2124,PL1-2403-3
VR884925,C102710,VA-SP-ORB,2024-06-22,vireo.in,2,11998,ORB-2404-3
VR886308,C108648,VA-EB-PL1,2024-06-22,vireo.in,1,1999,PL1-2403-2
VR886495,C106011,VA-EB-PL1,2024-06-22,vireo.in,1,2124,PL1-2403-2
VR890094,C101816,VA-EB-PL1,2024-06-22,vireo.in,1,2499,PL1-2405-2
VR893059,C109115,VA-EB-PL1,2024-06-22,Amazon,1,2124,PL1-2404-4
VR898646,C104337,VA-HP-ST2,2024-06-22,vireo.in,1,4999,ST2-2405-4
VR884564,C100808,VA-SP-ORB,2024-06-23,vireo.in,1,5699,ORB-2405-4
VR890303,C102491,VA-EB-PL1,2024-06-23,vireo.in,1,2499,PL1-2404-1
VR891031,C104971,VA-EB-PL1,2024-06-23,Flipkart,1,2499,PL1-2405-4
VR896385,C101800,VA-EB-PL1,2024-06-23,vireo.in,1,2249,PL1-2403-4
VR896753,C104590,VA-AC-CH65,2024-06-23,vireo.in,1,1274,CH65-2403-2
VR901146,C102915,VA-EB-PL1,2024-06-23,vireo.in,1,2124,PL1-2405-1
VR902321,C103583,VA-SP-ORB,2024-06-23,Flipkart,1,5699,ORB-2405-3
VR883116,C104022,VA-NB-ARC,2024-06-24,vireo.in,1,1169,ARC-2405-3
VR883606,C109344,VA-EB-PL1,2024-06-24,Amazon,1,2499,PL1-2403-4
VR886956,C108483,VA-AC-CH65,2024-06-24,vireo.in,1,1349,CH65-2405-2
VR887233,C100664,VA-EB-PL1,2024-06-24,Amazon,1,2374,PL1-2403-3
VR890222,C103636,VA-SW-NX1,2024-06-24,Amazon,1,3999,NX1-2405-1
VR893559,C102183,VA-EB-PL1,2024-06-24,Amazon,1,2499,PL1-2403-1
VR896084,C109416,VA-EB-PL1,2024-06-24,vireo.in,1,2499,PL1-2405-3
VR902146,C106647,VA-EB-PL1,2024-06-24,Amazon,1,2374,PL1-2405-2
VR908116,C101297,VA-EB-PL1,2024-06-24,vireo.in,1,2499,PL1-2405-1
VR909075,C105738,VA-SP-ORB,2024-06-24,Flipkart,1,5699,ORB-2405-4
VR910050,C100438,VA-AC-CH65,2024-06-24,Flipkart,1,1499,CH65-2403-1
VR883874,C106080,VA-EB-PL1,2024-06-25,vireo.in,1,1999,PL1-2405-4
VR892147,C103357,VA-EB-PL1,2024-06-25,vireo.in,1,2499,PL1-2404-2
VR898485,C102024,VA-AC-CH65,2024-06-25,vireo.in,1,1349,CH65-2404-2
VR898748,C103556,VA-EB-PL1,2024-06-25,Amazon,1,1999,PL1-2403-4
VR899598,C104873,VA-SP-ORB,2024-06-25,Amazon,1,5699,ORB-2403-2
VR908504,C105055,VA-SP-ORB,2024-06-25,vireo.in,1,5999,ORB-2404-3
VR888118,C105342,VA-EB-PL1,2024-06-26,vireo.in,1,1999,PL1-2404-4
VR890037,C107781,VA-EB-PL1,2024-06-26,Flipkart,1,2374,PL1-2403-1
VR892500,C104870,VA-SW-NX1,2024-06-26,vireo.in,1,3999,NX1-2404-3
VR895273,C104813,VA-EB-PL1,2024-06-26,vireo.in,1,1999,PL1-2403-2
VR895654,C102354,VA-NB-ARC,2024-06-26,Amazon,1,1234,ARC-2405-2
VR896898,C102521,VA-SW-NX1,2024-06-26,vireo.in,2,8998,NX1-2403-4
VR893003,C108912,VA-AC-CH65,2024-06-27,vireo.in,2,2998,CH65-2403-4
VR893406,C102778,VA-EB-PL1,2024-06-27,vireo.in,1,2374,PL1-2405-3
VR895227,C105739,VA-SP-ORB,2024-06-27,vireo.in,1,5099,ORB-2405-4
VR897078,C100444,VA-AC-CH65,2024-06-27,Flipkart,1,1499,CH65-2404-1
VR897479,C100207,VA-EB-PL1,2024-06-27,Amazon,2,4498,PL1-2403-2
VR903139,C103083,VA-EB-PL1,2024-06-27,vireo.in,1,2499,PL1-2404-1
VR904894,C103538,VA-SP-ORB,2024-06-28,vireo.in,1,4799,ORB-2403-2
VR880043,C107818,VA-AC-CBL,2024-06-29,vireo.in,1,319,CBL-2405-3
VR881948,C105162,VA-NB-ARC,2024-06-29,vireo.in,1,1299,ARC-2404-4
VR891573,C105308,VA-EB-PL1,2024-06-29,Flipkart,1,2499,PL1-2404-4
VR892794,C102735,VA-EB-PL1,2024-06-29,vireo.in,1,2499,PL1-2403-2
VR903497,C106345,VA-EB-PL1,2024-06-29,Amazon,1,2499,PL1-2404-4
VR906463,C109475,VA-EB-PL1,2024-06-29,vireo.in,1,2499,PL1-2403-3
VR907427,C106326,VA-SW-NX1,2024-06-29,vireo.in,2,9498,NX1-2404-1
VR908233,C103137,VA-SW-NX1,2024-06-29,Flipkart,1,4999,NX1-2406-3
VR910311,C105341,VA-EB-PL1,2024-06-29,vireo.in,1,2249,PL1-2404-4
VR885556,C108061,VA-EB-PL1,2024-06-30,Amazon,1,2499,PL1-2405-4
VR886914,C102423,VA-HP-ST2,2024-06-30,vireo.in,1,4999,ST2-2404-3
VR886991,C103800,VA-AC-CH65,2024-06-30,Amazon,1,1349,CH65-2404-2
VR891578,C109053,VA-SW-NX1,2024-06-30,vireo.in,1,4999,NX1-2406-3
VR893809,C107432,VA-EB-PL1,2024-06-30,Amazon,1,2499,PL1-2405-1
VR895853,C107234,VA-NB-ARC,2024-06-30,Amazon,1,1039,ARC-2406-1
VR896102,C105428,VA-NB-ARC,2024-06-30,vireo.in,1,1299,ARC-2405-1
VR897790,C104499,VA-SW-NX1,2024-06-30,vireo.in,1,4999,NX1-2404-4
VR898930,C107856,VA-EB-PL1,2024-06-30,Amazon,1,1999,PL1-2404-4
VR899793,C104122,VA-SP-ORB,2024-06-30,Amazon,1,5999,ORB-2404-1
VR903767,C107358,VA-AC-CH65,2024-06-30,Amazon,1,1499,CH65-2405-2
VR905041,C101097,VA-EB-PL1,2024-06-30,vireo.in,1,2124,PL1-2403-4
VR881501,C107160,VA-SW-NX1,2024-07-01,Flipkart,1,4249,NX1-2405-2
VR883423,C103091,VA-EB-PL1,2024-07-01,vireo.in,1,2499,PL1-2405-3
VR886952,C106373,VA-EB-PL1,2024-07-01,Amazon,1,2499,PL1-2404-3
VR891982,C101270,VA-NB-ARC,2024-07-01,Amazon,1,1299,ARC-2406-3
VR901046,C107140,VA-NB-ARC,2024-07-01,vireo.in,1,1039,ARC-2405-1
VR902200,C105782,VA-EB-PL1,2024-07-01,vireo.in,1,1999,PL1-2405-1
VR905525,C102852,VA-EB-PL1,2024-07-01,vireo.in,1,2499,PL1-2404-3
VR908934,C101600,VA-SW-NX1,2024-07-01,vireo.in,2,9498,NX1-2406-4
VR880835,C102581,VA-HP-ST2,2024-07-02,vireo.in,1,3999,ST2-2406-2
VR884725,C102314,VA-EB-PL1,2024-07-02,vireo.in,1,2499,PL1-2405-3
VR895406,C101249,VA-HP-ST2,2024-07-02,vireo.in,1,4749,ST2-2403-3
VR897562,C106090,VA-EB-PL1,2024-07-02,Amazon,1,2374,PL1-2404-3
VR905901,C105624,VA-NB-ARC,2024-07-02,vireo.in,1,1039,ARC-2406-1
VR909240,C108661,VA-NB-ARC,2024-07-02,vireo.in,1,1299,ARC-2404-1
VR886339,C106774,VA-EB-PL1,2024-07-03,Flipkart,1,2249,PL1-2406-3
VR889629,C108402,VA-EB-PL1,2024-07-04,Flipkart,1,2499,PL1-2404-4
VR890608,C104504,VA-EB-PL1,2024-07-04,Amazon,2,4498,PL1-2405-1
VR891105,C103207,VA-HP-ST2,2024-07-04,Amazon,1,4999,ST2-2403-2
VR892606,C100517,VA-SW-NX1,2024-07-04,Amazon,1,4999,NX1-2406-2
VR908065,C103377,VA-EB-PL1,2024-07-04,vireo.in,1,2499,PL1-2404-1
VR881490,C105290,VA-SW-NX1,2024-07-05,vireo.in,1,4249,NX1-2405-4
VR890220,C104235,VA-EB-PL1,2024-07-05,Flipkart,1,2124,PL1-2405-4
VR892022,C101737,VA-AC-CH65,2024-07-05,vireo.in,1,1499,CH65-2404-4
VR899305,C108349,VA-SP-ORB,2024-07-05,Amazon,1,5399,ORB-2404-3
VR900052,C104218,VA-EB-PL1,2024-07-05,vireo.in,2,4748,PL1-2404-2
VR900776,C104364,VA-EB-PL1,2024-07-05,vireo.in,1,2249,PL1-2405-2
VR905641,C103268,VA-SW-NX1,2024-07-05,Amazon,1,3999,NX1-2405-1
VR884446,C102225,VA-EB-PL1,2024-07-06,Amazon,1,2374,PL1-2404-1
VR885403,C108116,VA-NB-ARC,2024-07-06,vireo.in,1,1234,ARC-2404-1
VR886271,C103479,VA-EB-PL1,2024-07-06,vireo.in,1,2374,PL1-2406-1
VR893467,C102877,VA-NB-ARC,2024-07-06,vireo.in,1,1299,ARC-2405-2
VR897901,C104036,VA-EB-PL1,2024-07-06,Amazon,1,2499,PL1-2403-2
VR898919,C102255,VA-NB-ARC,2024-07-06,vireo.in,1,1299,ARC-2406-3
VR901354,C102684,VA-SP-ORB,2024-07-06,vireo.in,2,10798,ORB-2405-1
VR901418,C108692,VA-HP-ST2,2024-07-06,vireo.in,1,4999,ST2-2406-3
VR910109,C105496,VA-EB-PL1,2024-07-06,vireo.in,1,2499,PL1-2405-2
VR910180,C107926,VA-EB-PL1,2024-07-06,Flipkart,1,2499,PL1-2406-1
VR881806,C103878,VA-EB-PL1,2024-07-07,vireo.in,1,1999,PL1-2405-2
VR890966,C101928,VA-EB-PL1,2024-07-07,Amazon,2,4998,PL1-2405-2
VR893009,C107975,VA-SW-NX1,2024-07-07,vireo.in,1,4249,NX1-2405-4
VR895737,C101101,VA-EB-PL1,2024-07-07,vireo.in,2,4748,PL1-2405-1
VR904911,C108517,VA-HP-ST2,2024-07-07,Amazon,1,4249,ST2-2403-1
VR905570,C107144,VA-SP-ORB,2024-07-07,vireo.in,1,5099,ORB-2404-1
VR883227,C107795,VA-EB-PL1,2024-07-08,Amazon,1,2499,PL1-2405-1
VR894640,C104936,VA-NB-ARC,2024-07-08,Flipkart,1,1299,ARC-2404-4
VR895174,C108914,VA-NB-ARC,2024-07-08,Flipkart,1,1169,ARC-2405-1
VR896976,C106638,VA-NB-ARC,2024-07-08,Amazon,1,1299,ARC-2404-4
VR906421,C106160,VA-EB-PL1,2024-07-08,vireo.in,1,2499,PL1-2403-4
VR908796,C105571,VA-HP-ST2,2024-07-08,Amazon,2,7998,ST2-2405-3
VR890995,C107062,VA-SP-ORB,2024-07-09,vireo.in,1,5999,ORB-2403-4
VR892805,C108498,VA-AC-CH65,2024-07-09,vireo.in,1,1424,CH65-2405-4
VR894503,C102476,VA-EB-PL1,2024-07-09,vireo.in,1,2499,PL1-2406-3
VR899974,C102034,VA-EB-PL1,2024-07-09,vireo.in,1,2124,PL1-2406-3
VR903239,C103982,VA-EB-PL1,2024-07-09,vireo.in,1,2499,PL1-2404-3
VR905340,C100409,VA-EB-PL1,2024-07-09,vireo.in,2,4498,PL1-2405-1
VR907895,C103008,VA-SP-ORB,2024-07-09,Amazon,1,5999,ORB-2404-2
VR910009,C101331,VA-SW-NX1,2024-07-09,vireo.in,1,3999,NX1-2405-4
VR883045,C102667,VA-SW-NX1,2024-07-10,Flipkart,1,4749,NX1-2403-4
VR886644,C100254,VA-NB-ARC,2024-07-10,vireo.in,1,1169,ARC-2404-2
VR896033,C101282,VA-NB-ARC,2024-07-10,Flipkart,1,1104,ARC-2404-3
VR901165,C105357,VA-NB-ARC,2024-07-10,Flipkart,2,2598,ARC-2403-2
VR880307,C106340,VA-EB-PL1,2024-07-11,vireo.in,1,2499,PL1-2406-2
VR893983,C101029,VA-NB-ARC,2024-07-11,Amazon,1,1299,ARC-2403-2
VR894909,C108415,VA-EB-PL1,2024-07-11,Amazon,1,2124,PL1-2404-3
VR903610,C100308,VA-EB-PL1,2024-07-11,Amazon,1,2124,PL1-2404-1
VR904224,C101250,VA-AC-CBL,2024-07-11,Amazon,1,399,CBL-2404-4
VR905611,C101102,VA-NB-ARC,2024-07-11,vireo.in,1,1234,ARC-2406-3
VR910976,C102485,VA-EB-PL1,2024-07-11,Amazon,1,2249,PL1-2404-4
VR880706,C103053,VA-HP-ST2,2024-07-12,Amazon,1,3999,ST2-2404-4
VR880748,C106897,VA-NB-ARC,2024-07-12,vireo.in,1,1234,ARC-2404-4
VR882370,C108081,VA-HP-ST2,2024-07-12,Amazon,1,4499,ST2-2406-3
VR883562,C105890,VA-HP-ST2,2024-07-12,vireo.in,1,4999,ST2-2406-1
VR886133,C109249,VA-EB-PL1,2024-07-12,vireo.in,1,1999,PL1-2405-3
VR887121,C108708,VA-EB-PL1,2024-07-12,vireo.in,1,2499,PL1-2404-3
VR889330,C106592,VA-SW-NX1,2024-07-12,vireo.in,1,4249,NX1-2405-1
VR890441,C102632,VA-SP-ORB,2024-07-12,Flipkart,1,5699,ORB-2403-4
VR891209,C103169,VA-EB-PL1,2024-07-12,vireo.in,1,2499,PL1-2403-4
VR892003,C109353,VA-EB-PL1,2024-07-12,vireo.in,1,2249,PL1-2405-4
VR899326,C108377,VA-SW-NX1,2024-07-12,Flipkart,1,4749,NX1-2405-2
VR902156,C109105,VA-HP-ST2,2024-07-12,vireo.in,1,3999,ST2-2404-2
VR902509,C109270,VA-SW-NX1,2024-07-12,Amazon,1,4249,NX1-2405-3
VR880982,C108830,VA-AC-CH65,2024-07-13,vireo.in,1,1349,CH65-2405-3
VR884937,C102886,VA-EB-PL1,2024-07-13,Amazon,1,2499,PL1-2405-1
VR885039,C103636,VA-EB-PL1,2024-07-14,vireo.in,1,1999,PL1-2404-1
VR886192,C102463,VA-SP-ORB,2024-07-14,Amazon,1,5999,ORB-2406-4
VR888717,C103924,VA-NB-ARC,2024-07-14,Amazon,1,1234,ARC-2405-4
VR893236,C104887,VA-HP-ST2,2024-07-14,vireo.in,1,4749,ST2-2406-2
VR895749,C107385,VA-AC-CH65,2024-07-14,vireo.in,1,1349,CH65-2405-4
VR903726,C103017,VA-SP-ORB,2024-07-14,Amazon,1,5999,ORB-2405-4
VR907871,C102685,VA-EB-PL1,2024-07-14,Amazon,1,2249,PL1-2403-2
VR885242,C103930,VA-HP-ST2,2024-07-15,vireo.in,1,4249,ST2-2406-4
VR889325,C102219,VA-EB-PL1,2024-07-15,vireo.in,2,4248,PL1-2405-1
VR889668,C104772,VA-NB-ARC,2024-07-15,vireo.in,1,1169,ARC-2405-1
VR890281,C100020,VA-SP-ORB,2024-07-15,Amazon,1,5399,ORB-2404-3
VR894770,C106136,VA-AC-CBL,2024-07-15,Amazon,1,399,CBL-2406-2
VR891995,C101138,VA-SP-ORB,2024-07-16,Flipkart,1,5099,ORB-2405-2
VR896925,C104443,VA-EB-PL1,2024-07-16,vireo.in,1,2249,PL1-2405-4
VR896948,C106313,VA-EB-PL1,2024-07-16,vireo.in,1,2499,PL1-2405-4
VR897553,C106958,VA-SP-ORB,2024-07-16,vireo.in,1,5399,ORB-2406-3
VR903381,C101540,VA-EB-PL1,2024-07-16,vireo.in,1,2499,PL1-2403-1
VR904105,C106775,VA-HP-ST2,2024-07-16,vireo.in,1,4249,ST2-2406-2
VR905871,C108218,VA-AC-CH65,2024-07-16,vireo.in,1,1274,CH65-2405-3
VR880066,C109208,VA-EB-PL1,2024-07-17,vireo.in,1,1999,PL1-2406-4
VR882571,C107341,VA-HP-ST2,2024-07-17,Flipkart,2,9998,ST2-2405-3
VR885631,C107231,VA-EB-PL1,2024-07-17,vireo.in,1,2124,PL1-2404-3
VR887849,C102327,VA-SP-ORB,2024-07-17,vireo.in,1,5699,ORB-2406-3
VR887858,C105681,VA-HP-ST2,2024-07-17,vireo.in,1,4749,ST2-2405-4
VR890458,C108320,VA-HP-ST2,2024-07-17,vireo.in,1,4749,ST2-2405-4
VR897811,C107381,VA-EB-PL1,2024-07-17,vireo.in,1,2499,PL1-2406-3
VR902079,C103223,VA-EB-PL1,2024-07-17,vireo.in,1,2124,PL1-2405-1
VR905965,C105173,VA-EB-PL1,2024-07-17,Amazon,1,2499,PL1-2405-4
VR884790,C100895,VA-EB-PL1,2024-07-18,vireo.in,1,1999,PL1-2404-1
VR893524,C108302,VA-SW-NX1,2024-07-18,vireo.in,2,8498,NX1-2404-4
VR893677,C108879,VA-EB-PL1,2024-07-18,vireo.in,1,2374,PL1-2405-4
VR896779,C101913,VA-EB-PL1,2024-07-18,vireo.in,2,3998,PL1-2404-4
VR907879,C101140,VA-NB-ARC,2024-07-18,vireo.in,1,1104,ARC-2405-1
VR880375,C101425,VA-SP-ORB,2024-07-19,Flipkart,2,11398,ORB-2406-2
VR884160,C106808,VA-NB-ARC,2024-07-19,vireo.in,1,1104,ARC-2404-1
VR888041,C104591,VA-NB-ARC,2024-07-19,Flipkart,1,1299,ARC-2405-1
VR891986,C102116,VA-AC-CH65,2024-07-19,vireo.in,1,1424,CH65-2404-3
VR892220,C106653,VA-NB-ARC,2024-07-19,vireo.in,1,1299,ARC-2406-4
VR901781,C106991,VA-HP-ST2,2024-07-19,Amazon,1,4749,ST2-2404-2
VR905507,C107282,VA-EB-PL1,2024-07-19,vireo.in,1,2499,PL1-2406-1
VR908361,C106752,VA-EB-PL1,2024-07-19,Amazon,1,2499,PL1-2403-3
VR896326,C101147,VA-SW-NX1,2024-07-20,vireo.in,1,4999,NX1-2405-1
VR910501,C103300,VA-SW-NX1,2024-07-20,Amazon,1,4999,NX1-2406-2
VR910987,C106662,VA-EB-PL1,2024-07-20,vireo.in,1,2499,PL1-2404-1
VR883477,C102093,VA-NB-ARC,2024-07-21,Amazon,1,1299,ARC-2405-4
VR888534,C102488,VA-NB-ARC,2024-07-21,vireo.in,1,1299,ARC-2406-2
VR892862,C109254,VA-EB-PL1,2024-07-21,Amazon,1,2374,PL1-2406-3
VR893604,C102894,VA-EB-PL1,2024-07-21,vireo.in,1,2124,PL1-2405-1
VR898340,C109326,VA-EB-PL1,2024-07-21,vireo.in,1,2124,PL1-2404-1
VR899330,C101212,VA-EB-PL1,2024-07-21,Amazon,1,2374,PL1-2406-1
VR903117,C108671,VA-EB-PL1,2024-07-21,Amazon,1,2499,PL1-2406-4
VR908696,C101956,VA-EB-PL1,2024-07-21,vireo.in,1,2499,PL1-2406-4
VR884932,C102493,VA-SP-ORB,2024-07-22,Flipkart,1,5399,ORB-2405-4
VR885925,C100167,VA-SP-ORB,2024-07-22,vireo.in,1,5999,ORB-2406-4
VR890305,C104437,VA-AC-CH65,2024-07-22,vireo.in,1,1499,CH65-2404-1
VR891437,C108909,VA-HP-ST2,2024-07-22,Flipkart,1,4999,ST2-2405-1
VR891641,C108114,VA-SW-NX1,2024-07-22,Amazon,1,3999,NX1-2406-2
VR899428,C100790,VA-EB-PL1,2024-07-22,Amazon,1,2499,PL1-2404-1
VR901962,C107175,VA-SW-NX1,2024-07-22,vireo.in,1,4749,NX1-2405-3
VR907622,C108316,VA-EB-PL1,2024-07-22,vireo.in,1,2499,PL1-2406-4
VR908040,C101021,VA-EB-PL1,2024-07-22,vireo.in,1,2124,PL1-2405-2
VR881690,C108171,VA-HP-ST2,2024-07-23,Flipkart,1,4999,ST2-2407-4
VR882157,C103812,VA-EB-PL1,2024-07-23,vireo.in,1,2374,PL1-2404-3
VR885806,C101081,VA-AC-CH65,2024-07-23,Amazon,1,1424,CH65-2404-3
VR885824,C106210,VA-EB-PL1,2024-07-23,Flipkart,1,2249,PL1-2405-3
VR888182,C106449,VA-AC-CBL,2024-07-23,vireo.in,1,399,CBL-2405-4
VR888581,C108162,VA-EB-PL1,2024-07-23,vireo.in,1,2499,PL1-2405-4
VR898421,C108757,VA-EB-PL1,2024-07-23,vireo.in,1,2124,PL1-2404-1
VR902878,C100089,VA-EB-PL1,2024-07-23,vireo.in,1,2124,PL1-2404-1
VR902978,C101947,VA-EB-PL1,2024-07-23,vireo.in,2,4998,PL1-2406-3
VR904779,C101893,VA-SP-ORB,2024-07-23,vireo.in,1,5099,ORB-2405-1
VR908573,C101270,VA-SW-NX1,2024-07-23,Amazon,1,4999,NX1-2406-2
VR910136,C106658,VA-EB-PL1,2024-07-23,vireo.in,1,2499,PL1-2406-2
VR880927,C100615,VA-SW-NX1,2024-07-24,Amazon,2,8498,NX1-2405-4
VR882008,C103066,VA-NB-ARC,2024-07-24,vireo.in,1,1039,ARC-2407-3
VR891874,C109217,VA-EB-PL1,2024-07-24,vireo.in,1,2124,PL1-2406-4
VR892133,C105773,VA-HP-ST2,2024-07-24,Amazon,1,4999,ST2-2405-2
VR895781,C107086,VA-EB-PL1,2024-07-24,Amazon,1,2374,PL1-2404-4
VR900444,C105888,VA-SP-ORB,2024-07-24,vireo.in,1,5999,ORB-2406-2
VR909481,C103979,VA-AC-CH65,2024-07-24,Amazon,1,1499,CH65-2404-3
VR883056,C104123,VA-EB-PL1,2024-07-25,vireo.in,1,2249,PL1-2404-1
VR890009,C104913,VA-SP-ORB,2024-07-25,vireo.in,1,5999,ORB-2404-2
VR895209,C109412,VA-NB-ARC,2024-07-25,Flipkart,1,1299,ARC-2405-4
VR905307,C101089,VA-EB-PL1,2024-07-25,vireo.in,2,4748,PL1-2405-4
VR907958,C104123,VA-EB-PL1,2024-07-25,vireo.in,1,1999,PL1-2406-3
VR880793,C108820,VA-AC-CBL,2024-07-26,vireo.in,1,379,CBL-2404-3
VR883452,C102670,VA-SP-ORB,2024-07-26,vireo.in,1,5999,ORB-2404-1
VR890501,C102131,VA-EB-PL1,2024-07-26,vireo.in,2,3998,PL1-2404-2
VR894261,C107406,VA-EB-PL1,2024-07-26,vireo.in,1,2374,PL1-2406-2
VR902769,C108417,VA-EB-PL1,2024-07-26,Amazon,1,2374,PL1-2404-3
VR903506,C109003,VA-AC-CH65,2024-07-26,vireo.in,1,1199,CH65-2405-1
VR903925,C105617,VA-NB-ARC,2024-07-26,vireo.in,1,1104,ARC-2405-4
VR882576,C104015,VA-NB-ARC,2024-07-27,vireo.in,1,1039,ARC-2404-1
VR890098,C108745,VA-HP-ST2,2024-07-27,vireo.in,1,4499,ST2-2406-2
VR897276,C103352,VA-NB-ARC,2024-07-27,vireo.in,1,1104,ARC-2406-1
VR898317,C104262,VA-HP-ST2,2024-07-27,vireo.in,1,4249,ST2-2406-3
VR899120,C104256,VA-SP-ORB,2024-07-27,vireo.in,1,5999,ORB-2405-3
VR904082,C104162,VA-EB-PL1,2024-07-27,Amazon,1,2124,PL1-2404-2
VR906756,C103521,VA-SP-ORB,2024-07-27,vireo.in,1,5999,ORB-2407-3
VR883622,C106119,VA-SW-NX1,2024-07-28,vireo.in,1,4249,NX1-2404-2
VR906163,C108448,VA-SW-NX1,2024-07-28,Amazon,1,4999,NX1-2406-4
VR908223,C103390,VA-EB-PL1,2024-07-28,vireo.in,1,2499,PL1-2407-3
VR909994,C107977,VA-EB-PL1,2024-07-28,Amazon,1,2499,PL1-2405-3
VR910110,C107970,VA-EB-PL1,2024-07-28,vireo.in,1,2499,PL1-2405-2
VR891532,C108942,VA-AC-CBL,2024-07-29,vireo.in,1,319,CBL-2406-2
VR902159,C109134,VA-SP-ORB,2024-07-29,vireo.in,1,5399,ORB-2405-2
VR905038,C107474,VA-SW-NX1,2024-07-29,vireo.in,1,4999,NX1-2405-2
VR906580,C104219,VA-EB-PL1,2024-07-29,vireo.in,2,4998,PL1-2404-3
VR909963,C103753,VA-EB-PL1,2024-07-29,Amazon,2,4998,PL1-2406-2
VR880756,C104237,VA-AC-CBL,2024-07-30,Amazon,1,359,CBL-2405-2
VR882677,C102816,VA-EB-PL1,2024-07-30,Amazon,1,2249,PL1-2405-1
VR885185,C106705,VA-EB-PL1,2024-07-30,vireo.in,1,2374,PL1-2406-2
VR892946,C105422,VA-EB-PL1,2024-07-30,vireo.in,1,2249,PL1-2407-2
VR898448,C105060,VA-AC-CH65,2024-07-30,Flipkart,1,1499,CH65-2406-1
VR899412,C106780,VA-EB-PL1,2024-07-30,Amazon,1,2249,PL1-2407-4
VR906498,C101672,VA-SP-ORB,2024-07-30,vireo.in,1,5399,ORB-2404-4
VR880098,C107652,VA-EB-PL1,2024-07-31,vireo.in,1,2499,PL1-2405-3
VR880148,C109362,VA-EB-PL1,2024-07-31,vireo.in,1,2499,PL1-2406-1
VR881119,C106832,VA-EB-PL1,2024-07-31,vireo.in,1,2499,PL1-2406-2
VR883734,C105527,VA-EB-PL1,2024-07-31,vireo.in,1,2499,PL1-2404-3
VR886547,C109495,VA-AC-CH65,2024-07-31,vireo.in,1,1499,CH65-2405-2
VR906786,C103040,VA-EB-PL1,2024-07-31,vireo.in,1,2499,PL1-2406-4
VR907448,C102206,VA-EB-PL1,2024-07-31,Amazon,1,2249,PL1-2406-3
